n_samples,exp_num,n_perspectives,n_clusters,perplexity,separation_error,time
400,4,5,2,240,0.128,30.4349422454834
400,0,6,2,240,0.215,36.75419998168945
400,1,6,2,240,0.18875,36.47404909133911
400,2,6,2,240,0.18166666666666664,36.88371396064758
400,3,6,2,240,0.17833333333333334,36.79116606712341
400,4,6,2,240,0.21,36.81295108795166
400,0,7,2,240,0.21142857142857144,42.6566641330719
400,1,7,2,240,0.1832142857142857,42.82757091522217
400,2,7,2,240,0.21357142857142858,42.393442153930664
400,3,7,2,240,0.22142857142857145,43.18531513214111
400,4,7,2,240,0.22178571428571425,42.900278091430664
400,0,8,2,240,0.23531249999999998,48.886740922927856
400,1,8,2,240,0.23343749999999996,49.36008310317993
400,2,8,2,240,0.23343750000000002,49.198381185531616
400,3,8,2,240,0.24625000000000002,48.745832204818726
400,4,8,2,240,0.22999999999999998,48.48507380485535
400,0,9,2,240,0.255,54.64876890182495
400,1,9,2,240,0.23166666666666666,55.35787892341614
400,2,9,2,240,0.25388888888888883,55.10925579071045
400,3,9,2,240,0.2347222222222222,53.53967809677124
400,4,9,2,240,0.2561111111111111,53.33102893829346
400,0,10,2,240,0.29875,59.544315814971924
400,1,10,2,240,0.27,61.18559694290161
400,2,10,2,240,0.27775,61.40240001678467
400,3,10,2,240,0.27425,61.350497007369995
400,4,10,2,240,0.288,61.0124671459198
