n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
400,0,3,2,0.024999999999999984,41.828593492507935
400,1,3,2,0.12666666666666668,41.95936918258667
400,2,3,2,0.031666666666666655,42.17264723777771
400,3,3,2,0.03416666666666668,42.3784704208374
400,4,3,2,0.022500000000000003,42.497204303741455
400,0,3,3,0.10333333333333335,41.9626739025116
400,1,3,3,0.16249999999999998,42.22070598602295
400,2,3,3,0.1208333333333333,43.27962589263916
400,3,3,3,0.08916666666666666,42.894948959350586
400,4,3,3,0.07083333333333335,42.324212074279785
400,0,3,4,0.21083333333333332,42.76595401763916
400,1,3,4,0.19666666666666668,42.118497133255005
400,2,3,4,0.29583333333333334,42.46946477890015
400,3,3,4,0.2383333333333333,42.74328303337097
400,4,3,4,0.18833333333333332,42.933693408966064
400,0,3,5,0.24666666666666667,42.90348291397095
400,1,3,5,0.205,42.6041955947876
400,2,3,5,0.21750000000000003,41.786866426467896
400,3,3,5,0.24583333333333335,42.0827271938324
400,4,3,5,0.24249999999999997,42.77894878387451
400,0,3,6,0.25916666666666666,41.936381816864014
400,1,3,6,0.25916666666666666,42.10931205749512
400,2,3,6,0.2783333333333334,41.72372627258301
400,3,3,6,0.24500000000000002,41.956754207611084
400,4,3,6,0.25916666666666666,42.50082540512085
400,0,3,7,0.2708333333333333,42.307018995285034
400,1,3,7,0.3591666666666667,42.268007040023804
400,2,3,7,0.2966666666666667,42.23326826095581
400,3,3,7,0.2683333333333333,41.911837100982666
400,4,3,7,0.27249999999999996,41.69658541679382
400,0,3,8,0.27499999999999997,42.272223234176636
400,1,3,8,0.2791666666666667,42.007880210876465
400,2,3,8,0.2791666666666666,42.26023006439209
400,3,3,8,0.275,41.863651514053345
400,4,3,8,0.28750000000000003,43.01975727081299
400,0,3,9,0.3308333333333333,42.4186429977417
400,1,3,9,0.27416666666666667,42.545328855514526
400,2,3,9,0.27,42.75145602226257
400,3,3,9,0.26999999999999996,41.97321581840515
400,4,3,9,0.285,41.545573472976685
400,0,3,10,0.29083333333333333,41.95699667930603
400,1,3,10,0.2725,42.28012728691101
400,2,3,10,0.29083333333333333,42.15603017807007
400,3,3,10,0.2866666666666667,42.01082158088684
400,4,3,10,0.295,42.04544997215271
400,0,3,2,0.004166666666666652,42.417683601379395
400,1,3,2,0.041666666666666664,43.23096966743469
400,2,3,2,0.006666666666666672,42.29257655143738
400,3,3,2,0.055000000000000014,42.27341675758362
400,4,3,2,0.055833333333333325,44.53937101364136
400,0,3,3,0.16,45.28162240982056
400,1,3,3,0.1366666666666667,44.99412298202515
400,2,3,3,0.13749999999999998,44.204262018203735
400,3,3,3,0.1125,43.848960638046265
400,4,3,3,0.15333333333333332,42.61322093009949
400,0,3,4,0.29333333333333333,43.1130690574646
400,1,3,4,0.2316666666666667,45.70063400268555
400,2,3,4,0.24,45.936349868774414
400,3,3,4,0.2316666666666667,44.39143204689026
400,4,3,4,0.14416666666666667,41.88164401054382
400,0,3,5,0.25166666666666665,38.5973539352417
400,1,3,5,0.23833333333333337,39.970112562179565
400,2,3,5,0.33166666666666667,41.294705629348755
400,3,3,5,0.2508333333333333,41.66490936279297
400,4,3,5,0.25666666666666665,41.75764775276184
400,0,3,6,0.2708333333333333,37.55402708053589
400,1,3,6,0.265,39.48143911361694
400,2,3,6,0.26416666666666666,37.15650987625122
400,3,3,6,0.27999999999999997,39.01600956916809
400,4,3,6,0.27249999999999996,42.60087561607361
400,0,3,7,0.2683333333333333,35.75873112678528
400,1,3,7,0.2683333333333333,42.17719745635986
400,2,3,7,0.26666666666666666,36.77401638031006
400,3,3,7,0.2625,40.30816650390625
400,4,3,7,0.2658333333333333,42.21290683746338
400,0,3,8,0.3666666666666667,42.50994324684143
400,1,3,8,0.2758333333333333,42.43761157989502
400,2,3,8,0.3083333333333333,42.388001680374146
400,3,3,8,0.27999999999999997,41.59408164024353
400,4,3,8,0.28833333333333333,41.909791707992554
400,0,3,9,0.2758333333333333,41.93459892272949
400,1,3,9,0.2808333333333333,42.15405511856079
400,2,3,9,0.2758333333333333,42.09776473045349
400,3,3,9,0.2775,43.17696785926819
400,4,3,9,0.27416666666666667,41.575560569763184
400,0,3,10,0.27999999999999997,42.17887544631958
400,1,3,10,0.30916666666666665,42.28606986999512
400,2,3,10,0.33666666666666667,42.97828483581543
400,3,3,10,0.39166666666666666,42.48021912574768
400,4,3,10,0.305,42.10501146316528
400,0,3,2,0.0,42.64519453048706
400,1,3,2,0.0,42.84538698196411
400,2,3,2,0.0,42.86026430130005
400,3,3,2,0.00833333333333334,42.36918544769287
400,4,3,2,0.0,42.854597330093384
400,0,3,3,0.014999999999999977,42.749067544937134
400,1,3,3,0.07583333333333335,42.51159358024597
400,2,3,3,0.03750000000000001,42.958621978759766
400,3,3,3,0.06916666666666667,43.359809160232544
400,4,3,3,0.08916666666666669,42.9362518787384
400,0,3,4,0.22666666666666666,43.13715624809265
400,1,3,4,0.21916666666666665,43.10191893577576
400,2,3,4,0.09416666666666666,42.238160610198975
400,3,3,4,0.20333333333333334,42.80919814109802
400,4,3,4,0.18083333333333332,42.52655339241028
400,0,3,5,0.2275,43.32343530654907
400,1,3,5,0.24749999999999997,42.50105166435242
400,2,3,5,0.23916666666666667,42.54172611236572
400,3,3,5,0.24416666666666664,42.52652621269226
400,4,3,5,0.2325,42.86578702926636
400,0,3,6,0.2558333333333333,42.30319952964783
400,1,3,6,0.2791666666666666,42.42916297912598
400,2,3,6,0.25666666666666665,42.409916400909424
400,3,3,6,0.24333333333333332,43.2342574596405
400,4,3,6,0.25333333333333335,42.11602163314819
400,0,3,7,0.24833333333333332,42.10888719558716
400,1,3,7,0.2683333333333333,42.59633946418762
400,2,3,7,0.26,41.78505253791809
400,3,3,7,0.24833333333333332,42.72262406349182
400,4,3,7,0.37666666666666665,42.499654054641724
400,0,3,8,0.28250000000000003,43.2363018989563
400,1,3,8,0.24666666666666667,42.242653131484985
400,2,3,8,0.365,42.656538248062134
400,3,3,8,0.2675,42.875001668930054
400,4,3,8,0.2675,42.57844948768616
400,0,3,9,0.27416666666666667,42.91246438026428
400,1,3,9,0.26499999999999996,42.35960364341736
400,2,3,9,0.2625,42.33303380012512
400,3,3,9,0.2708333333333333,42.381834983825684
400,4,3,9,0.2608333333333333,42.43987154960632
400,0,3,10,0.29333333333333333,42.735801219940186
400,1,3,10,0.2941666666666667,42.518521547317505
400,2,3,10,0.31166666666666665,42.739240407943726
400,3,3,10,0.32916666666666666,41.78509449958801
400,4,3,10,0.34833333333333333,42.521682262420654
400,0,3,2,0.010000000000000009,42.42430138587952
400,1,3,2,0.0,42.14026403427124
400,2,3,2,0.004166666666666652,42.066673278808594
400,3,3,2,0.0,42.163007736206055
400,4,3,2,0.0,43.19014263153076
400,0,3,3,0.004166666666666652,42.115010499954224
400,1,3,3,0.08083333333333335,42.544548988342285
400,2,3,3,0.11750000000000001,42.225886821746826
400,3,3,3,0.16166666666666665,42.178014278411865
400,4,3,3,0.14333333333333334,42.94899845123291
400,0,3,4,0.2225,42.47803044319153
400,1,3,4,0.2141666666666667,41.958351373672485
400,2,3,4,0.13333333333333333,42.08095383644104
400,3,3,4,0.20333333333333334,42.62292838096619
400,4,3,4,0.2041666666666667,42.42388415336609
400,0,3,5,0.19749999999999998,41.87739658355713
400,1,3,5,0.2808333333333333,42.027761697769165
400,2,3,5,0.25,42.30901217460632
400,3,3,5,0.24583333333333335,42.33204245567322
400,4,3,5,0.19333333333333336,42.818562030792236
400,0,3,6,0.3708333333333333,42.7510871887207
400,1,3,6,0.21999999999999997,42.29960036277771
400,2,3,6,0.24916666666666668,41.75520157814026
400,3,3,6,0.23666666666666666,42.053706407547
400,4,3,6,0.3066666666666667,42.08954405784607
400,0,3,7,0.31583333333333335,42.3325572013855
400,1,3,7,0.2916666666666667,41.91255187988281
400,2,3,7,0.24666666666666667,41.80749201774597
400,3,3,7,0.2575,42.194029808044434
400,4,3,7,0.26,42.30387783050537
400,0,3,8,0.2775,42.5344443321228
400,1,3,8,0.4483333333333333,42.008596897125244
400,2,3,8,0.26499999999999996,41.84455609321594
400,3,3,8,0.2775,42.31896662712097
400,4,3,8,0.28583333333333333,42.20806860923767
400,0,3,9,0.4291666666666667,41.78570103645325
400,1,3,9,0.3416666666666666,42.091970682144165
400,2,3,9,0.31083333333333335,42.27431511878967
400,3,3,9,0.3791666666666667,42.156020402908325
400,4,3,9,0.44333333333333336,42.53904366493225
400,0,3,10,0.4008333333333333,41.82594180107117
400,1,3,10,0.41,42.206080198287964
400,2,3,10,0.35833333333333334,42.411945819854736
400,3,3,10,0.38833333333333336,41.87559771537781
400,4,3,10,0.43083333333333335,42.23449230194092
