perplexity,n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
240,400,0,2,4,0,28.36815786
240,400,1,2,4,0,28.3979063
240,400,2,2,4,0,28.08822465
240,400,3,2,4,0,28.25595737
240,400,4,2,4,0,28.96671891
240,400,0,2,5,0.095,28.29624581
240,400,1,2,5,0,28.68682814
240,400,2,2,5,0,29.24776697
240,400,3,2,5,0,28.88054752
240,400,4,2,5,0,27.28121519
240,400,0,2,6,0,28.33751631
240,400,1,2,6,0.0125,27.76110721
240,400,2,2,6,0,28.67473173
240,400,3,2,6,0,28.16300297
240,400,4,2,6,0,28.7271297
240,400,0,2,7,0.01125,28.88411021
240,400,1,2,7,0,27.85064244
240,400,2,2,7,0.04875,28.11974931
240,400,3,2,7,0,28.96235704
240,400,4,2,7,0.05375,28.45857692
240,400,0,2,8,0.02125,28.7083261
240,400,1,2,8,0.0225,28.21498561
240,400,2,2,8,0.145,28.59635878
240,400,3,2,8,0.0125,28.56890321
240,400,4,2,8,0.005,28.20481968
240,400,0,2,9,0.10125,27.90664148
240,400,1,2,9,0.01375,27.93759108
240,400,2,2,9,0.035,28.41505051
240,400,3,2,9,0.04625,28.11401176
240,400,4,2,9,0.1125,28.08114552
240,400,0,2,10,0.0525,28.20150352
240,400,1,2,10,0.0675,27.89772892
240,400,2,2,10,0.04,28.36053061
240,400,3,2,10,0.06375,28.07793832
240,400,4,2,10,0.03625,27.94443655
