n_samples,exp_num,n_perspectives,n_clusters,separation_error,time
200,0,2,2,0.0025000000000000022,3.193575859069824
200,1,2,2,0.0,3.181504964828491
200,2,2,2,0.0,3.1913352012634277
400,0,2,2,0.0,11.677443981170654
400,1,2,2,0.0,11.585795879364014
400,2,2,2,0.0012499999999999734,11.560096979141235
600,0,2,2,0.003333333333333355,25.704035997390747
600,1,2,2,0.0,25.85553503036499
600,2,2,2,0.0,25.54251980781555
800,0,2,2,0.0,45.364964962005615
800,1,2,2,0.0,45.8807168006897
800,2,2,2,0.0018750000000000155,46.10160994529724
1000,0,2,2,0.0,73.38785004615784
1000,1,2,2,0.0,73.04612183570862
1000,2,2,2,0.0,72.96580600738525
1200,0,2,2,0.0012499999999999734,104.73675799369812
1200,1,2,2,0.0,104.77918291091919
1200,2,2,2,0.0,104.66121792793274
1400,0,2,2,0.0,146.3775668144226
1400,1,2,2,0.0,144.8049681186676
1400,2,2,2,0.0,145.69305181503296
1600,0,2,2,0.0,190.87798810005188
1600,1,2,2,0.0,190.63514804840088
1600,2,2,2,0.0,188.22545218467712
1800,0,2,2,0.0,237.42616391181946
1800,1,2,2,0.0,238.51808309555054
1800,2,2,2,0.0,239.15210914611816
