,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
511,"RADISHES,ORIENTAL,CKD,BLD,DRND,W/SALT",95.04,17,0.67,0.24,0.62,3.43,1.6,1.83,17.0,0.15,9.0,24.0,285.0,249.0,0.13,0.101,0.033,0.7,15.1,0.0,0.023,0.15,0.114,0.038,17.0,0.0,17.0,17.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.073,0.04,0.108,0.0
512,"RUTABAGAS,CKD,BLD,DRND,W/SALT",91.54,30,0.93,0.18,0.51,6.84,1.8,3.95,18.0,0.18,10.0,41.0,216.0,254.0,0.12,0.029,0.097,0.7,18.8,0.082,0.041,0.715,0.155,0.102,15.0,0.0,15.0,15.0,15.2,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,13.0,0.24,0.0,0.0,0.2,0.029,0.027,0.095,0.0
513,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,W/SALT",94.25,19,1.04,0.39,0.53,3.79,1.1,2.48,22.0,0.37,16.0,29.0,177.0,237.0,0.22,0.065,0.157,0.2,11.6,0.043,0.025,0.507,0.323,0.078,23.0,0.0,23.0,23.0,7.9,0.0,1117.0,56.0,0.0,0.0,670.0,0.0,0.0,315.0,0.12,0.0,0.0,4.4,0.064,0.023,0.131,0.0
514,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,W/SALT",92.24,25,1.28,0.2,0.74,5.54,1.4,2.33,20.0,0.52,27.0,41.0,253.0,242.0,0.34,0.073,0.263,0.3,6.8,0.036,0.047,0.44,0.102,0.099,13.0,0.0,13.0,13.0,9.7,0.0,201.0,10.0,0.0,0.0,120.0,0.0,0.0,388.0,0.15,0.0,0.0,5.4,0.04,0.015,0.082,0.0
515,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",95.0,16,1.03,0.17,0.5,3.3,1.9,1.5,15.0,0.33,19.0,28.0,140.0,237.0,0.24,0.083,0.128,0.2,10.8,0.051,0.025,0.464,0.079,0.085,21.0,0.0,21.0,21.0,6.2,0.0,85.0,4.0,0.0,0.0,51.0,0.0,0.0,250.0,0.12,0.0,0.0,3.5,0.035,0.013,0.072,0.0
516,"TARO,COOKED,WITH SALT",63.8,142,0.52,0.11,0.97,34.6,5.1,0.49,18.0,0.72,30.0,76.0,484.0,251.0,0.27,0.201,0.449,0.9,5.0,0.107,0.028,0.51,0.336,0.331,19.0,0.0,19.0,19.0,21.3,0.0,84.0,4.0,0.0,0.0,39.0,22.0,0.0,0.0,2.93,0.0,0.0,1.2,0.023,0.009,0.046,0.0
517,"TURNIPS,CKD,BLD,DRND,W/SALT",93.6,22,0.71,0.08,0.55,5.06,2.0,2.99,22.0,0.22,8.0,19.0,135.0,286.0,0.2,0.064,0.1,0.6,11.6,0.027,0.023,0.299,0.142,0.067,9.0,0.0,9.0,9.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.008,0.005,0.042,0.0
518,"TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",93.6,21,1.53,0.24,0.9,3.73,2.0,1.73,32.0,0.98,14.0,26.0,182.0,272.0,0.2,0.063,0.1,0.6,3.9,0.035,0.028,0.56,0.141,0.067,8.0,0.0,8.0,8.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.1,0.025,0.015,0.125,0.0
519,"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT",96.06,11,0.4,0.2,0.89,2.45,1.0,1.18,18.0,0.38,10.0,17.0,5.0,343.0,0.59,0.022,0.056,0.2,10.5,0.034,0.001,0.384,0.121,0.032,4.0,0.0,4.0,4.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.08,0.0,0.0,2.8,0.016,0.037,0.088,0.0
520,"YAM,CKD,BLD,DRND,OR BKD,W/SALT",70.13,114,1.49,0.14,1.25,26.99,3.9,0.49,14.0,0.52,18.0,49.0,670.0,244.0,0.2,0.152,0.371,0.7,12.1,0.095,0.028,0.552,0.311,0.228,16.0,0.0,16.0,16.0,16.2,0.0,122.0,6.0,0.0,0.0,73.0,0.0,0.0,0.0,0.34,0.0,0.0,2.3,0.029,0.005,0.06,0.0
521,"CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT",72.84,97,3.34,1.41,0.7,21.71,2.7,7.73,2.0,0.55,31.0,92.0,252.0,3.0,0.54,0.057,0.214,0.8,6.2,0.09,0.053,1.666,0.749,0.127,20.0,0.0,20.0,20.0,29.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,0.09,0.0,0.0,0.4,0.197,0.374,0.603,0.0
522,"CORN,SWT,WHITE,CKD,BLD,DRND,W/SALT",72.84,97,3.34,1.41,0.7,21.71,2.7,7.73,2.0,0.55,31.0,92.0,252.0,253.0,0.54,0.057,0.214,0.8,6.2,0.09,0.053,1.666,0.749,0.127,20.0,0.0,20.0,20.0,29.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,0.09,0.0,0.0,0.4,0.197,0.374,0.603,0.0
523,"CORN,SWT,WHITE,CND,WHL KERNEL,DRND SOL",80.38,71,2.32,1.37,0.86,15.06,2.3,2.42,3.0,0.28,13.0,46.0,142.0,185.0,0.31,0.031,0.066,0.7,2.1,0.015,0.016,0.883,0.355,0.065,36.0,0.0,36.0,36.0,16.3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,0.07,0.0,0.0,0.0,0.161,0.223,0.415,0.0
524,"CORN,SWT,WHITE,CND,CRM STYLE,REG PK",78.24,74,1.74,0.42,0.98,18.62,1.2,6.09,4.0,0.31,15.0,40.0,119.0,261.0,0.56,0.022,0.068,0.4,4.6,0.025,0.053,0.96,0.18,0.063,45.0,0.0,45.0,45.0,20.3,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,44.0,0.07,0.0,0.0,0.0,0.065,0.123,0.199,0.0
525,"CORN,SWT,WHITE,CND,CRM STYLE,NO SALT",78.73,72,1.74,0.42,0.98,18.13,1.2,2.21,3.0,0.38,17.0,51.0,134.0,3.0,0.53,0.052,0.039,0.6,4.6,0.025,0.053,0.96,0.18,0.063,45.0,0.0,45.0,45.0,20.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,0.06,0.0,0.0,0.3,0.065,0.123,0.198,0.0
526,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",76.73,80,2.75,0.43,0.53,19.56,2.4,3.12,4.0,0.35,19.0,57.0,147.0,5.0,0.4,0.037,0.127,0.7,3.1,0.083,0.071,1.299,0.18,0.129,31.0,0.0,31.0,31.0,22.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,0.07,0.0,0.0,0.3,0.066,0.126,0.203,0.0
527,"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT",76.73,80,2.75,0.43,0.53,19.56,2.4,3.12,4.0,0.35,19.0,57.0,147.0,245.0,0.4,0.037,0.127,0.7,3.1,0.083,0.071,1.299,0.18,0.129,31.0,0.0,31.0,31.0,22.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,50.0,0.07,0.0,0.0,0.3,0.066,0.126,0.203,0.0
528,"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",93.3,20,1.15,0.1,0.95,4.5,1.3,0.78,26.0,0.9,13.0,19.0,109.0,251.0,0.29,0.038,0.2,0.4,4.8,0.015,0.056,0.201,0.129,0.037,32.0,0.0,32.0,32.0,10.5,0.0,105.0,5.0,0.0,0.0,63.0,0.0,0.0,458.0,0.29,0.0,0.0,39.3,0.022,0.004,0.051,0.0
