,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot,Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg),class
309,"OLIVES,RIPE,CND (SMALL-EXTRA LRG)",79.99,115,0.84,10.68,2.23,6.26,3.2,0,88,3.3,4,3,8,735,0.22,0.251,0.02,0.9,0.9,0.003,0,0.037,0.015,0.009,0,0,0,0,10.3,0,403,20,0,0,237,9,0,510,1.65,0,0,1.4,1.415,7.888,0.911,0,2
310,"OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)",84.34,81,0.97,6.87,2.22,5.61,2.5,0,94,3.32,4,3,9,735,0.22,0.226,0.02,0.9,1.5,0.003,0,0.022,0.015,0.012,0,0,0,0,6.6,0,346,17,0,0,204,8,0,510,1.65,0,0,1.4,0.909,5.071,0.586,0,2
311,"PEARS,RAW",83.96,57,0.36,0.14,0.32,15.23,3.1,9.75,9,0.18,7,12,116,1,0.1,0.082,0.048,0.1,4.3,0.012,0.026,0.161,0.049,0.029,7,0,7,7,5.1,0,25,1,0,1,14,2,0,44,0.12,0,0,4.4,0.022,0.084,0.094,0,0
312,"PEARS,CND,H2O PK,SOL&LIQUIDS",91.81,29,0.19,0.03,0.16,7.81,1.6,6.1,4,0.21,4,7,53,2,0.09,0.051,0.034,0,1,0.008,0.01,0.054,0.022,0.014,1,0,1,1,3.4,0,0,0,0,0,0,0,0,34,0.08,0,0,0.3,0.002,0.006,0.007,0,0
313,"PEARS,CND,JUC PK,SOL&LIQUIDS",86.47,50,0.34,0.07,0.19,12.94,1.6,9.7,9,0.29,7,12,96,4,0.09,0.053,0.034,0,1.6,0.011,0.011,0.2,0.022,0.014,1,0,1,1,3.4,0,6,0,0,0,3,0,0,34,0.08,0,0,0.3,0.004,0.014,0.015,0,0
314,"PEARS,CND,LT SYRUP PK,SOL&LIQUIDS",84.46,57,0.19,0.03,0.14,15.17,1.6,12.1,5,0.28,4,7,66,5,0.08,0.049,0.033,0,0.7,0.01,0.016,0.154,0.022,0.014,1,0,1,1,3.4,0,0,0,0,0,0,0,0,34,0.08,0,0,0.3,0.002,0.006,0.007,0,0
315,"PEARS,CND,HVY SYRUP PK,SOL&LIQUIDS",80.35,74,0.2,0.13,0.15,19.17,1.6,15.2,5,0.22,4,7,65,5,0.08,0.049,0.032,0,1.1,0.01,0.022,0.242,0.022,0.014,1,0,1,1,1.9,0,0,0,0,0,0,0,0,34,0.08,0,0,0.3,0.007,0.027,0.03,0,0
316,"PEAR NECTAR,CND,WO/ VIT C",84.01,60,0.11,0.01,0.1,15.76,0.6,15.16,5,0.26,3,3,13,4,0.07,0.067,0.03,0,1.1,0.002,0.013,0.128,0.022,0.014,1,0,1,1,2,0,1,0,0,0,1,0,0,20,0.05,0,0,1.8,0.001,0.003,0.003,0,0
317,"PINEAPPLE,CND,H2O PK,SOL&LIQUIDS",90.82,32,0.43,0.09,0.35,8.3,0.8,7.5,15,0.4,18,4,127,1,0.12,0.105,1.121,0.4,7.7,0.093,0.026,0.298,0.1,0.074,5,0,5,5,3.8,0,38,2,0,0,23,0,0,0,0.01,0,0,0.3,0.006,0.011,0.031,0,0
318,"PINEAPPLE,CND,JUC PK,SOL&LIQUIDS",83.51,60,0.42,0.08,0.3,15.7,0.8,14.45,14,0.28,14,6,122,1,0.1,0.086,1.121,0.4,9.5,0.095,0.019,0.284,0.1,0.074,5,0,5,5,4.8,0,38,2,0,0,23,0,0,0,0.01,0,0,0.3,0.006,0.01,0.029,0,0
319,"PINEAPPLE,CND,LT SYRUP PK,SOL&LIQUIDS",85.73,52,0.36,0.12,0.35,13.45,0.8,12.65,14,0.39,16,7,105,1,0.12,0.103,1.097,0.4,7.5,0.091,0.025,0.292,0.1,0.074,5,0,5,5,3.8,0,38,2,0,0,23,0,0,0,0.01,0,0,0.3,0.009,0.013,0.04,0,0
320,"PINEAPPLE,CND,HVY SYRUP PK,SOL&LIQUIDS",78.99,78,0.35,0.11,0.34,20.2,0.8,16.9,14,0.38,16,7,104,1,0.12,0.101,1.08,0.4,7.4,0.09,0.025,0.287,0.1,0.074,5,0,5,5,3.8,0,14,1,0,0,8,0,0,0,0.01,0,0,0.3,0.009,0.013,0.04,0,0
321,"PINEAPPLE,FRZ,CHUNKS,SWTND",77.1,86,0.4,0.1,0.2,22.2,1.1,21.1,9,0.4,10,4,100,2,0.11,0.099,1.062,0.1,8,0.1,0.03,0.3,0.105,0.075,11,0,11,11,4.9,0,30,2,0,0,18,0,0,0,0.02,0,0,0.7,0.007,0.012,0.035,0,0
